Solutions Developer;20226630540702842443140291314001;programming-development;Fri 12 Apr, 6:31 pm;;Auckland City, Auckland;;About the role: The primary focus of the role is to provided development and support over several different applications. Skills and Experience: Java, Groovy, JMS, Fuse, AMQExperience working through the complete SDLCSignificant application support and process experienceExperience in Integrations, Security and a deep understanding of OP We'd love to hear from you - APPLY now or contact Terence Gomes on 027 553 4469 for a confidential discussion. Job Ref: 98497 Beyond Recruitment IT & Transformation, connecting IT talent with IT opportunities. Visit www.beyond.co.nz for more roles and information. NB: While all candidates will be reviewed, only shortlisted candidates will be contacted.Applicants for this position should have NZ residency or a valid NZ work visa.
Executive Manager: Release, Environment & QA;20199633200702842443140291314001;management;Wed 10 Apr, 4:02 pm;;Auckland City, Auckland;Includes a salary & bonus & benefits ;Overview:Spanning the Tasman as one of the largest Financial Services businesses in Australasia, this Insurance company has consistently elevated the role technology plays as an enabler and executor of bold strategy.  To further leverage technology effectively there has been a pivot for the wider technology group, uniting the historically disparate areas into a Shared Technical Capability.  This transition has created several new executive management roles to lead, inform and execute the wider strategic objectives.What`s underway:More specifically, across the tech area, there is a commitment to invest in tools and techniques to drive greater productivity.  Initiatives include the development and upskilling of people, consolidation of tools, smarter use of automation, consistent approach to delivery and stronger, wider leadership that drives new adoption and change.The job:The role itself leads three key areas of the technology department: Release, QA and Environment.  With a team of 70 with three direct reports, the remit extends across both the capital and operational context and reports into the Executive GM.Tasked with creating new delivery models and platforms for QA, Release and bringing cloud enablement further into maturity the deliverables of this role are wide and varied.  There are an immense number of reference technologies and tools so any queries around this please do get in touch.Your fit:As much as technical know-how and capability are required, and knowledge and experience with tools is necessary, this is a leadership role.  Ultimately you have three direct reports who are all of varying degrees of experience whose efforts contribute to the wider cohesion of control of the platform environments, delivery of software through DevOps and ProdOps models and technology and the control of quality and test coverage through QA.Requirements:Exposure to each of these functions is critical at the scale (or near to it) of this type of business.  We`re talking hundreds of applications, hundreds of developers with thousands of instances across millions of customers with multi-million transactions with billions of dollars in policies. Your leadership needs to be proven, management of managers and orchestration through multiple teams.  The business itself is highly values-driven, filtering down from the top with the EGM driving behaviors and policy where the value of people is real to the business and leadership.  If you`d like to know more please contact Julian on julian.l.a4ljwc5jozg0@potentia.aptrack.co.uk or +64-21-968-090Applicants for this position should have NZ residency or a valid NZ work visa.
Business Analyst;20222484580702842443140291314001;business-systems-analysts;Fri 12 Apr, 11:08 am;;Auckland City, Auckland;;The Company:Being the largest company in their sector in New Zealand, our client has a pipeline full of innovative projects and exposure to a variety of technologies.  They have recently accomplished a full Agile transformation and set up 7 fully operational squads. Structured, supportive and with training opportunities, this company is known for exceptional service delivery and an innovative approach to the smart utilisation of cutting-edge technology.   Why you`d like it:This is a great opportunity for an agile skilled Business Analyst to join this complex and hugely diverse organisation, working in a thoroughly interesting technical environment, surrounded by a team of passionate people.  You will be part of a wider team that has one of the best cultures in the market.  The role: You will be working as part of a systems modernisation programme translating technical requirements into user stories. What you need to be successful: - 3 + years` experience as agile Business Analysis. - Experience in writing user stories - Proven track record in working with Azure, Windows 10 and Office 365 - Excellent verbal and written presentation, facilitation and communication skillsIf you feel like this is your cup of tea, please do not hesitate to click on APPLY NOW. Be aware that you must possess the right to live and work in New Zealand to be considered for this role.Applicants for this position should have NZ residency or a valid NZ work visa.
Senior Drupal Developer;20211180890702842443140291314001;programming-development;Thu 11 Apr, 2:00 pm;;Porirua, Wellington;;- Initial Six-Month Contract. - Hourly Rate: $95ph - $112.50ph. - Porirua / Kapiti Coast LocationTHE COMPANYThis is a government organisation providing support and community services across Aotearoa. As a Drupal Developer based in Porirua you will be joining a web team who are driving some major changes and innovation across their internal and external facing websites.THE ROLE - To design, develop, and implement web solutions in line with business requirements - Working collaboratively to develop and integration various back-end applications and functionality. Identifying better faster ways to deliver outcomes.SKILLS & EXPERIENCE - Extensive experience in designing and developing websites using Drupal and PHP. Ideally, you will have used both Version 7 & 8. - Strong web development experience across; HTML, CSS, and JavaScript. - A bonus would be any experience with Angular, Ionic or Typescript  - You will have a deep understanding with creating custom Drupal modules and using modules such as Views, Services, Panels, Webform and the Drush CMI.HOW TO APPLYSend in your up to date CV addressing the requirements listed above. Alternatively, contact Jake Riggir on 027- 583-3115 for a confidential conversation.Applicants for this position should have NZ residency or a valid NZ work visa.
Business Analyst;20198047670702842443140291314001;business-systems-analysts;Wed 10 Apr, 1:09 pm;;Manukau City, Auckland;;About the role: Work on New Zealand's first marine spatial plan in the Hauraki Gulf!   The contract will be located in South Auckland. This is a Business Analyst position with a government agency. Use your government, policy, law and marine experience all in one role! Become the 'Sea Change' BA and oversee a plan of 16 themes with over 180 recommendations. Take a new look at improving the management of this project by developing a road map for the future.Assess different actions and determine if partner agencies have a role to playReview existing documents to remove any overlapCoordinate roles for each action that will be implementedCreate road maps to work collaboratively with external fisheriesWrite reports and produce supporting graphicsPresent analysis and summaryAbout you:Senior BA with experience in marine or fishery industries preferredResource Management background with policy analysis preferredUsed GIS or familiar with similar programsExcellent communicator and ability to work with various departmentsRef: 98437 Please contact me today to register & express your interest to be considered for this role!   Feel free to apply online today by following the prompts below, or contact Paula Broussard via email at paula.broussard@beyond.co.nz. Candidates must have the legal right to work in New Zealand. Beyond Recruitment IT & Transformation, connecting IT talent with IT opportunities. Visit www.beyond.co.nz for more roles and information.
Programme Manager;20201328330702842443140291314001;project-management;Wed 10 Apr, 7:02 pm;;Wellington, Wellington;$150-$170 per hour.;- One of the largest data & analytics programmes in the market.  - Establish governance and drive successful implementation.  - $150-$170 per hour & flexible working arrangements.  ABOUT THE COMPANYLarge government organisation serving over a million people nationwide. Employing thousands of kiwi`s across the country, they are committed to achieving a sustainable and prosperous future for all New Zealanders.   ABOUT THE ROLERecruit I.T. have an exciting opportunity for a Programme Manager with a proven track record of governance and delivery in the data & analytics space. You will have worked across large scale analytics platforms, established new delivery teams and have successfully driven strategy around data and analytics. Operating within a well-establish team, this is a high profile role in charge of a highly visible programme that is crucial to the organisations wider strategy. DUTIES - Evaluate and select a technology solution, manage a complex internal stakeholder group, and drive successful implementation.  - Establishing a new delivery team, developing a programme strategy for the following 12 months, and establish overall governance structures.  - Manage a complex, multi-vendor environment with a range of technology programs that require comprehensive data and analytics knowledge.  SKILLS & EXPERIENCE - Proven track record of data & analytics programme delivery and execution in the public sector is crucial. - Experience managing multiple vendors in complex and challenging environments. You can point to specific examples where you have successfully navigated difficult environments to ensure delivery was made on time.  - Exposure to Agile delivery environments, with a preference on Scaled Agile being a huge benefit.  - Any experience utilising cloud technology and solutions such as AWS or Azure is also beneficial. BENEFITSThis organisation is committed to ensuring a healthy work-life balance and are offering a fantastic rate that reflects that upcoming complexity and challenges of the programme. HOW TO APPLYPlease apply online if you are interested in this role or contact Jacob on 027-536-4600 for a confidential discussionApplicants for this position should have NZ residency or a valid NZ work visa.
Intermediate - Senior Engineer CI/CD, AWS;20299773260702842443140291314001;programming-development;Thu 18 Apr, 2:26 pm;;Wellington, Wellington;;Intermediate - Senior - multiple roles. 100% hands on role.varied contract role, mixing integration, Ops Support and pipeline automationEstablished team and practicesThis will be a varied contract role, mixing integration, Ops Support and pipeline automationThis is a 100% hands on role. 6 month contract, initially on hourly rate basis. Essential Duties and Responsibilities:Provide subject matter expertise to project and technical teamsDeliver technical presentations and demonstrations to the business and technical teamsAchieve and maintain certification in relevant product and technology areasProvide guidance on infrastructure and cloud architecture for technical teams and projectsAssist to build and maintain the DevOps culture within the technical teamKnowledge & Experience:Proven problem solving ability when troubleshooting complex system problemsUnderstanding of Continuous Integration/Continuous Delivery methodologies and experience with related productsUnderstanding of Automated Provisioning and Deployment methodologies and experience with related products Understanding of DevOps principles and practicesUnderstanding of Cloud architecture and design principles, and knowledge of industry best practiceExperience with working in an agile centric software development team/environmentTechnical Skills:Apache httpdHAproxyRHEL/RHEVOpenShift & DockerJenkinsPuppetAnsibleAWS (EC2, S3, CloudFront, Security Groups)JBossGradleDocker SwarmKubernetesSplunkPlease apply today to learn more about this client and 6 month hourly rate contractApplicants for this position should have NZ residency or a valid NZ work visa.
Contract PHP Developer;20271830770702842443140291314001;programming-development;Tue 16 Apr, 1:23 pm;;Auckland City, Auckland;;Global entertainment brand in further growth mode in NZ, requires a talented Contract PHP Developer to hit the ground running on multiple website upgrades for their recently acquired subsidiaries.The Company:  Global entertainment brand in further growth mode in NZ, requires a talented Contract PHP Developer to hit the ground running on multiple website upgrades for their recently acquired subsidiaries. This is a hands on Back End role with an excellent chance of extension beyond the initial 3 month term. Role requirement:7+ years Back End PHP coding experience - essentialExperienced with multiple frameworks, eg SilverStripe, Symfony, Laravel - desirablePrevious mentoring or leadership experience - desirable Your fit:  If you enjoy producing solid code, tackling design challenges and are keen to progress in an exceptional working environment where you will be welcomed then please click 'apply'. Applicants must have the right work in New Zealand to be considered.Experis ANZ is parent to a portfolio of brands; Greythorn, Safesearch, GT-X and Global Attract. These brands make up our core specialisations for Technology & Digital, Accounting & Finance, Engineering and Workplace Health, Safety and Environment. When you apply for this opportunity you will be directed to the parent website www.experis.co.nz to lodge your application. Experis is part of the ManpowerGroup, a global leader in offering end to end workforce solutions.  If you're curious and willing to have a conversation about this role, please pick up the phone and speak with our recruitment specialist below. Even if this doesn't sound like the right role for you, we encourage you to join our talent community so your skill set can be the first considered when another opportunity arises. Click register on our website www.experis.co.nz.Rob FrithTechnology & DigitalPrincipal ConsultantLet's Connecthttps://www.linkedin.com/in/robjfrith/+64 9 903 9418Applicants for this position should have NZ residency or a valid NZ work visa.
Senior Change Manager;20258702350702842443140291314001;management;Mon 15 Apr, 3:10 pm;;North Shore City, Auckland;;Help lead and drive a large scale change programme for an enterprise organisation in transformation. This is a high impact and highly rewarding assignment for a senior level operator.To be successful in this role you will be well versed in large scale Change initiatives and a solid understanding of how people go through a change and the change process.You will be highly influential at a senior level filtering down. With the Support of the Head of Change Management, you will have the mandate to get in and deliver! What you will need:•	Proven large scale change programme experience•	Change Management Certs and experience to back it up•	Stakeholder engagement •	Experience with large-scale organisational change efforts.
React Native Developer - Contract;20210712860702842443140291314001;programming-development;Thu 11 Apr, 1:13 pm;;Auckland City, Auckland;;Our client is seeking React Native skills and a willingness to work on a fantastic contract for a minimum of 6 months The project will have you building  major new features in B2C mobile apps and integrate existing solutions into themYou will be part of updating to the latest technology stack and tooling and building a mobile CI/CD pipeline and managing app releasesKey skills we seek are ;React Native or solid  hands-on React web experience or potentially long term hands-on experience in other SPA web framework technology, ideally used in a mobile contextBuilding, testing and releasing cross-platform mobile appsJavaScript in all flavours (ECMA, JSX, TypeScript) etc.Experience with the latest JS language features, transpilers, Babel, linters etc.Strong knowledge around accessing backend data stores, management of local state and synchronisation with remote state (GraphQL, Redux, MobX, flux, etc.)Have built and can refer to visually appealing, responsive UIs using CSS3, animations, flex, HTMLExperience in TDD, BDD frameworks like Mocha, Jest, Enzyme, mobile UI testing a bonusJS tool chain experience (webpack, yarn, gulp, minify, uglify)If you have  experience in different frontend frameworks (React, Angular, Ember, Meteor, Vue, etc.) and worked with all sorts of device APIs (location, notification, camera, etc.), that would be a bonus Call Hugh now 021611477 for further information or apply below  - ideally start within 2 weeksApplicants for this position should have NZ residency or a valid NZ work visa.
