"sep=;"
Senior Change Manager;1375538551;other;Thu 20 Jul, 9:45 am;;Auckland City, Auckland;;Our client is currently on the lookout for an experienced Senior Change Manager to work on a range of projects relating to systems implementations, transitions and/or transformations. With this in mind, they are ideally looking for a Change Manager with experience around technology/systems (particularly in the financial/payments space). They are also looking for solid Organisational Change experience. Our client is looking for someone with all the usual Change Management skills including business and people impact analysis and senior stakeholder management. Ideally you will be certified in PROSCI or at the least have commercial exposure to the use of this methodology. If you believe that you could be a good fit for this exciting contract opportunity then APPLY NOW!Applicants for this position should have NZ residency or a valid NZ work visa.
Database Developer;1374811783;database;Wed 19 Jul, 12:01 pm;;Auckland City, Auckland;;Exciting Creative Design companyGreat location away from CBD trafficProgressive and ambitious growing company!Our client is a full-service design agency, and they are looking to add an extra member to assist with some exciting new projects starting. This role will see you working in a close knit team.  You will be responsible for maintaining and supporting the core business system, and its peripheral systems, keeping things running smoothly, in order for the business to provide excellent service to their clients. To be successful in this role you will need to have:- 4+ years' experience in a PHP, My sql Developer role- Database creation experience- Strong analysis and troubleshooting skills- Experience with My Sql, PHP, Ajax, Bootstrap, html, and Javascript- The ability to work in a team environment- Excellent communication skills- Proactive and positive interpersonal skills- Excellent time management skills and drive to deliverAlso... A great attitude is everything!If this sounds like the opportunity you have been waiting for and you have the skills listed above, please apply today!!!Click Apply Now or call Catherine on 09 579 7929 for more information.Only people with the right to live and work in New Zealand may apply for this role. For this position, you must be available for an interview in Auckland.                         Job Reference number: 2551335Applicants for this position should have NZ residency or a valid NZ work visa.
Solution Designer- Enterprise Services;1371185441;architects;Fri 14 Jul, 5:03 pm;;Wellington, Wellington;NZ$110 - NZ$120 per hour + Paid Fortnightly;Challenging, exciting delivery focussed environmentBe a part of a passionate, results driven team3 month contract starting immediatelyWe are seeking an experienced Solution Designer to work on a large programme of work with our well known Wellington client. The role is initially a 3 month contract starting immediately.This position involves developing system solution options within the Enterprise Architecture framework and standards, developing solution specifications and providing technical input to projects and BAU activities and any other work as directed.This is a pivotal role in the delivery of projects. Solution Designers must help drive delivery and they often act as Technical Leads. Clear and compelling options and design documentation is a core component of the role, though there are opportunities to be more hands-on with technology depending on the skillset and circumstances.Key skills we're looking for: Produce High Level Design, Detailed Design, Consolidated Development DocumentAbility to provide robust analysis and Identify system solution options based on business requirementsAbility to build rapport with a wide variety of technical and non-technical stakeholders and challenge established thinking; Leveraged LeadershipExcellent documentation skills and ability to present technical concepts in an easy to understand way.Experience in Spatial/GIS will be PreferredClear and confident verbal communication skills and pre-eminent written skills If your collaborative, inclusive and informative communication stylemakes you stand out from your peers, then apply now - or contact Neha Mittal for further information on 04 917 9263
Automation Test Engineer;1375613172;testing;Thu 20 Jul, 12:03 pm;;Wellington, Wellington;;Working alongside other experienced Test Engineers & DevelopersRun and Automate tests using tools such as Cucumber, Jmeter, Postman, MochaKnowledge of API'sOur client prides itself on product innovation and technical excellence and are constantly adding new applications and new functionality for their customer.This is a large scale complex program of work, being delivered in an Agile format.The Automation Test Analyst will be a key as they look to automate and improve performance now and into the future. Reporting to the Development Manager, and working alongside other experienced Test Engineers and experienced Developers you'll shape and implement the technology and vision for the company and brand. Key accountabilities:Produce and design robust and clear testing approaches leading to code of high standards and quality for high volume, large scale websites.Work with developers and customers to extract test requirements, scenarios and concrete examples using BDD methodsReport on performance test results following execution of appropriate scriptsAnalyse results, raise appropriate defectsRun and Automate tests using tools such as Cucumber, Jmeter, Postman, MochaYou will bring:Proven experience of software testing concepts, patterns and processes.3 years + fundamental test automation engineering skillsThe ability to write & run test scripts, repeatedly with high accuracyExcellent communication skills, both written and spokenExperience with all aspects of performance testingKnowledge of API'sYou'll be someone who:- Keeps up with new technologies, trying many of them out for yourself just for fun- Has a passion for collaborative teamwork and delivering high quality outcomes to all tasks- Can communication with technical and non-technical colleagues and clients alike- Has an appreciation of concurrency scalability and performancePlease apply today to learn more information. Applicants for this position must have NZ residency or a valid NZ work visa with eligibility to accept a contract job offer for minimum 6 months and start immediately.Applicants for this position should have NZ residency or a valid NZ work visa.
Senior Business Analyst (Contract);1374980961;business-systems-analysts;Wed 19 Jul, 4:12 pm;;Wellington, Wellington;;Processes Mapping and Improvement6 Month ContractWellington CBDSenior Business Analyst Contract - Wellington CBD  Your new company An essential New Zealand service needs a Contract Senior Business Analyst for their National Headquarters in the Wellington CBD. Due to growth in their IT projects, a Senior Business Analyst is needed to help the dedicated team.   Your new role Your new role is an essential process redesign. You will scope, design and successfully implement a package of work which aims to reduce the administrative burden of an essential process. Business Requirements gathering is essential with a focus on Project and Relationship Management, problem definition and scoping, analysis, Testing process changes and of course the roll out of the new process.   What you'll need to succeed You will have experiences as a Business analyst and a good understanding of New Zealand's public Services. A proven ability to coordinate documents and data from multiple sources and be able to analyse and summarise succinctly with a high analytical ability. You will also demonstrate strong verbal and written communication skills and be an expert in process mapping.   What you'll get in return working for a leading and essential New Zealand Service improving there processes and efficiency as an organisation, based in the Wellington CBD you will be working on a 6 Month Contract with the possibility of extension.  What you need to do now If you're passionate about this role, click 'apply now' or call Dalaney Davis now on (04) 471 4493 . If this job isn't quite right for you but you are looking for a new position or contract as business analyst, please contact Dalaney for a confidential discussion on your careerApplicants for this position should have NZ residency or a valid NZ work visa.
Senior Project Manager - ERP;1371015579;project-management;Fri 14 Jul, 12:03 pm;;Auckland City, Auckland;;Great new office location in the CityExcellent BenefitsJoin a leading IT ConsultancyMy client are looking for an experienced Senior Contract Project Manager working on the roll out of a global ERP system.What you will be doing:12 month contract opportunity that will see you leading a large, $5m+ project, focused around the implementation of a new ERP system. You will be responsible for the successful end to end delivery of this project. This is a trans-Tasman project that will see you engaging high level stakeholders across the business. As a proven leader, you will relish in the challenge of complex implementations and will thrive in a fast paced environment that is not bogged down by undue process.What we need from you:We need a senior level Project Manager who has a proven track record of leading similar projects in the past, both from a size and technology standpoint. You will have led ERP implementations in the past and will have excellent stakeholder management skills and the ability to manage complex, multi-stream projects. Experience with Agile would also be ideal. Don't be one of those people who read an advert about a fantastic opportunity and never actually apply, only to later hear somebody you know bragging about how great their new job is!  They applied so don't miss this opportunity - APPLY NOW!Your interest will be treated in the strictest of confidence.  Please apply using an MS WORD version of your CV, as if we proceed with your application this is the format we'll require to submit to clients.Note: We review all CV's manually and you will only be contacted if your skills and experience meet the requirements of any of our clients.Applicants for this position should have NZ residency or a valid NZ work visa.
Senior Front-end Developer;1370444716;programming-development;Thu 13 Jul, 4:06 pm;;Auckland City, Auckland;NZD80 - 95 per hour;The Company:This cutting-edge company aims to be the leading provider of a Marketing Platform in Australasia and so far, it is well on track to do so. Based on the City Fringe in new, loft-style offices, these guys combine the best of both worlds; a creative, agency feel with highly technical staff and tools. Supportive, forward-thinking and flexible, you can be guaranteed a place to grow and progress. The Role:You will join a team of 3 developers working on the design phase of a complex web application. The workload is getting too much for their only front-end developer and he needs another senior developer ready to take ownership and willing to bring an effective contribution to the project. To be successful you will need:   - A proven track of successful deliveries in front-end development roles, working on complex web applications with component architecture and complex routing. - Hands-on experience and a solid understanding of HTML/CSS, Angular 1 and Angular 2 (must have both), CSS pre-processors, TypeSCript, and module loaders/bundlers such as Webpack and Browserify. - Outstanding English oral and written communications skills - Ability to work and participate in a team To be considered for this role you need to possess the right to live and work in New Zealand. If you believe this opportunity fits with what you are looking for, please apply. ARJO-1707-46883Applicants for this position should have NZ residency or a valid NZ work visa.
Senior Project Manager;1374851797;project-management;Wed 19 Jul, 1:04 pm;;Auckland City, Auckland;;Work across an integral company-wide piece of workInitial 6 Month contract - Competitive rate - looking to move quickly!Multiple project streams across systems, applications and business processesWork across an integral company-wide piece of workInitial 6 Month contract - Competitive rate - looking to move quickly!Multiple project streams across systems, applications and business processesCome work for an organisation which offers a vibrant, energetic environment for people who bring passion and commitment to their work, and enjoy a culture where successes are recognised and celebrated.The team is innovative and collaborative and has built a strong reputation of being a highly desirable place to work. They allow for personal development and reward employees respectively. This is a brand that you will want on the CV and projects you will want to be involved in! What you'll be doing:This position will see you using your strong experience delivering across a range of projects including systems, applications and business processes. Your project stream/s you will be managing will contribute to a wider, organisational technology transformation. What you'll need to succeed:  Minimum of 5+ years of Project Management experienceSoftware project experience particularly across system integrationExceptional relationship-building and communication skillsIdeally experience delivering large projects in Agile enterprise environmentsExcellent documentation and communication skillsAbility to cut through complexity and understand the true requirements.Don't be one of those people who read an advert about a fantastic opportunity and never actually apply, only to later hear somebody you know bragging about how great their new job is!  They applied so don't miss this opportunity - APPLY NOW!Your interest will be treated in the strictest of confidence.  Please apply using an MS WORD version of your CV, as if we proceed with your application this is the format we'll require to submit to clients.Note: We review all CV's manually and you will only be contacted if your skills and experience meet the requirements of any of our clients.AH480485Applicants for this position should have NZ residency or a valid NZ work visa.
Programme Manager;1369596699;project-management;Wed 12 Jul, 2:04 pm;;Auckland City, Auckland;;12-month Contract positionStrategic Programme of workLonger term opportunityWe are looking for someone who is experienced in leading IT transformation across large organisations. You will be someone who is able to work across all levels of the organisation and execute strategy with senior members.To be successful in this role, you must have:- Demonstrable experience leading large programmes and portfolios- Strong stakeholder, strategy, and business case development abilities- Experience managing IT lifecycles and business key change- Excellent communication skills (both verbal and written)- Leadership and coordination capabilityIf this sounds like the opportunity you have been waiting for and you have the skills listed above, please apply today!!!Click Apply Now or call Amelia Fitchew on 09 579 7929 for more information.Only people with the right to live and work in New Zealand may apply for this role. For this position, you must be available for an interview in Auckland.Job Reference number: 2551737Applicants for this position should have NZ residency or a valid NZ work visa.
Senior Business Analyst;1373889918;business-systems-analysts;Tue 18 Jul, 9:03 am;;Auckland City, Auckland;;Looking for telco industry exposure and experience in OSS/BSSFantastic CBD Location, 6-month initial term and great rateBe part of a collaborative solutions delivery teamLooking for telco industry exposure and experience in OSS/BSSFantastic CBD Location, 6-month initial term and great rateBe part of a collaborative solutions delivery teamCome work for an organisation which offers a vibrant, energetic environment for people who bring passion and commitment to their work, and enjoy a culture where successes are recognised and celebrated.The team is innovative and collaborative and has built a strong reputation of being a highly desirable place to work. This is a brand that you will want on the CV and projects you will want to be involved in! What you'll be doing:This position will see you working on complex projects around OSS/BSS such as onboarding customers and the systems behind it.  Experience with OSS/BSS, assurity and provisioning type work with be key here!  It will require you to work with technical teams and liaise heavily with business stakeholders. What you'll need to succeed:  Exposure working in TelecommunicationsMinimum of 5+ years of Business Analyst experienceExposure to UML (modelling skills)Knowledge of BSS/OSS and a good understanding of assurity and provisioningExperience delivering large projects in Agile and Waterfall delivery methodsExcellent documentation and communication skillsAbility to cut through complexity and understand the true requirements.Don't be one of those people who read an advert about a fantastic opportunity and never actually apply, only to later hear somebody you know bragging about how great their new job is!  They applied so don't miss this opportunity - APPLY NOW!Your interest will be treated in the strictest of confidence.  Please apply using an MS WORD version of your CV, as if we proceed with your application this is the format we'll require to submit to clients.Note: We review all CV's manually and you will only be contacted if your skills and experience meet the requirements of any of our clients.NP_442682Applicants for this position should have NZ residency or a valid NZ work visa.
